05/06/2024,21:28:12,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.74,temperature:26.50,conductivity:201,ph:5.20,nitrogen:56,phosporus:177,potasium:170
05/06/2024,21:30:04,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:4.17,temperature:26.50,conductivity:202,ph:5.00,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:30:10,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:0.81,temperature:26.60,conductivity:202,ph:4.90,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:31:05,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:4.89,temperature:26.50,conductivity:202,ph:4.90,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:31:10,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:3.95,temperature:26.50,conductivity:202,ph:4.90,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:32:02,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.13,temperature:26.50,conductivity:202,ph:4.90,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:32:08,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:2.94,temperature:26.50,conductivity:202,ph:4.90,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:33:06,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:3.85,temperature:26.50,conductivity:202,ph:5.00,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:34:06,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:2.35,temperature:26.50,conductivity:202,ph:5.30,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:35:03,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:2.98,temperature:26.50,conductivity:202,ph:5.20,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:35:09,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:0.98,temperature:26.50,conductivity:202,ph:5.20,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:36:11,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:2.33,temperature:26.50,conductivity:202,ph:5.10,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:37:06,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.89,temperature:26.50,conductivity:202,ph:5.30,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:38:05,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:3.17,temperature:26.50,conductivity:202,ph:5.10,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:38:11,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.67,temperature:26.40,conductivity:202,ph:5.10,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:39:05,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:0.67,temperature:26.50,conductivity:202,ph:5.00,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:39:10,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:3.96,temperature:26.50,conductivity:202,ph:5.00,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:40:05,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:2.87,temperature:26.50,conductivity:202,ph:5.30,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:40:11,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.95,temperature:26.50,conductivity:202,ph:5.30,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:41:05,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:0.67,temperature:26.50,conductivity:202,ph:5.20,nitrogen:57,phosporus:178,potasium:171
05/06/2024,21:41:11,weather_humidity:50.00,weather_temperature:23.00,soil_moisture:100.00,water_level:1.90,temperature:26.50,conductivity:202,ph:5.20,nitrogen:57,phosporus:178,potasium:171
